secid,date,cp_flag,index_flag,days,cusip,ticker,sic,exchange_d,class,issue_type,industry_group,delta,impl_volatility,impl_strike,impl_premium,dispersion,_1_MO,_2_MO,_3_MO,_6_MO,_1_YR,_2_YR,_3_YR,_5_YR,_7_YR,_10_YR,_30_YR,close
108105,26-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-90,0.591655,3318.387,705.7075,0.115016,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,27-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,90,0.737454,1983.52,587.2579,0.043141,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,85,0.716104,2099.637,487.9504,0.04551,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,80,0.690493,2195.608,409.383,0.046675,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,70,0.634847,2350.411,290.0156,0.043932,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,65,0.609712,2414.264,244.5723,0.041169,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,60,0.587089,2471.917,206.1287,0.038816,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,50,0.545504,2574.615,144.2287,0.03594,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,45,0.525602,2621.533,119.0192,0.03501,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,40,0.506117,2666.477,96.92173,0.034329,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
